"pais","CODIGO_PAIS","REGIAO","nivel_educacional","anos_programando","cargo_atual","anos_usando_ml","SALARIO_ANUAL_USD","linguagens_usadas","bancos_de_dados_usados","ferramentas_bi_usadas"
Kenya,KEN,Africa,Bachelor’s degree,"1-3 years",Data Scientist,Computers/Technology,1000.0,Python,,
Nigeria,NGA,Africa,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,0.0,Python;R;SQL,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Marketing/CRM,125000.0,Python;R;SQL,,
India,IND,Asia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,7500.0,Python,,
India,IND,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,Python;SQL,,
Tunisia,TUN,Africa,Doctoral degree,"5-10 years",Data Scientist,Computers/Technology,0.0,Python;C;C#;C++;Java,,Qlik Sense
Taiwan,TWN,Asia,Doctoral degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,Python;R,,
United States of America,,,Master’s degree,"20+ years",Data Scientist,Computers/Technology,200000.0,Python;R;SQL,SQLite,Looker
Tunisia,TUN,Africa,Master’s degree,"10-20 years",Data Scientist,Other,150000.0,Python;SQL;Java;Bash,Oracle Database,Google Data Studio;Tableau
United States of America,,,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,70000.0,Python;SQL,,
India,IND,Asia,I prefer not to answer,< 1 years,Data Scientist,Manufacturing/Fabrication,2000.0,Python;SQL,Microsoft SQL Server,
United States of America,,,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,80000.0,,,
India,IND,Asia,Bachelor’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;R;SQL;Java,,
Colombia,COL,Americas,Master’s degree,"5-10 years",Data Engineer,Computers/Technology,80000.0,Python;R;SQL;Java,,
Spain,ESP,Europe,Master’s degree,"5-10 years",Data Scientist,Non-profit/Service,40000.0,Python;SQL;C;C++;Bash,,
India,IND,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python;C,,
India,IND,Asia,Bachelor’s degree,I have never written code,Data Engineer,Computers/Technology,200000.0,,,
Spain,ESP,Europe,Some college/university study without earning a bachelor’s degree,"5-10 years",Data Engineer,Computers/Technology,2000.0,SQL;C++;Java;Javascript;MATLAB,,
Brazil,BRA,Americas,I prefer not to answer,I have never written code,Data Scientist,Medical/Pharmaceutical,0.0,,,
India,IND,Asia,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,30000.0,,,
Other,,,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,1000.0,Python;SQL;PHP,,
Turkey,TUR,Asia,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,1000.0,SQL,,
India,IND,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,20000.0,Python,,
Japan,JPN,Asia,Master’s degree,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,5000.0,Python;SQL;Bash,MongoDB,
United States of America,,,Professional doctorate,"5-10 years",Data Scientist,Government/Public Service,100000.0,Python;R;SQL,,
Peru,PER,Americas,Bachelor’s degree,"3-5 years",Data Scientist,Academics/Education,20000.0,Python,MongoDB,
Turkey,TUR,Asia,Bachelor’s degree,"1-3 years",Data Scientist,Non-profit/Service,0.0,Python;SQL;Javascript,,
India,IND,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python;SQL,,
Other,,,I prefer not to answer,I have never written code,Data Scientist,Medical/Pharmaceutical,0.0,,,
United States of America,,,Doctoral degree,"5-10 years",Data Scientist,Medical/Pharmaceutical,150000.0,Python;R;SQL,MySQL;SQLite;MongoDB,
South Korea,KOR,Asia,Bachelor’s degree,"1-3 years",Data Engineer,,,Python;C,,
United States of America,,,Doctoral degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,,,
United States of America,,,Master’s degree,< 1 years,Data Scientist,Accounting/Finance,0.0,Python;SQL;MATLAB,,
India,IND,Asia,Bachelor’s degree,"5-10 years",Data Engineer,Computers/Technology,3000.0,Python;SQL,MongoDB;Snowflake,
India,IND,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,3000.0,,,
Germany,DEU,Europe,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,60000.0,Python;SQL,,
United States of America,,,Master’s degree,"3-5 years",Data Scientist,Manufacturing/Fabrication,125000.0,Python;SQL,,
United States of America,,,Doctoral degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,100000.0,R,,
Brazil,BRA,Americas,Master’s degree,"5-10 years",Data Scientist,Accounting/Finance,25000.0,Python;SQL,,
United States of America,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,90000.0,Python;SQL,,
Nigeria,NGA,Africa,Bachelor’s degree,"1-3 years",Data Scientist,Accounting/Finance,0.0,Python;SQL,,
United States of America,,,Master’s degree,"3-5 years",Data Scientist,Government/Public Service,80000.0,Python,,
United States of America,,,Master’s degree,"1-3 years",Data Scientist,Retail/Sales,100000.0,Python;SQL,MongoDB,
United States of America,,,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,10000.0,Python;SQL,SQLite;MongoDB,
India,IND,Asia,Master’s degree,"5-10 years",Data Scientist,Computers/Technology,,Python;R,MongoDB,
Netherlands,NLD,Europe,Professional doctorate,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,4000.0,Python;R;SQL;MATLAB,,
Nigeria,NGA,Africa,Some college/university study without earning a bachelor’s degree,< 1 years,Data Scientist,Computers/Technology,4000.0,Python,,
United States of America,,,Bachelor’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,90000.0,Python;R;SQL;Bash,,
Turkey,TUR,Asia,Master’s degree,"3-5 years",Data Scientist,Computers/Technology,0.0,Python;R;SQL,,
United States of America,,,Master’s degree,"3-5 years",Data Scientist,Energy/Mining,90000.0,Python;R;SQL,,
Mexico,MEX,Americas,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,15000.0,,,
India,IND,Asia,Master’s degree,< 1 years,Data Scientist,Academics/Education,,Python;MATLAB,,
India,IND,Asia,Master’s degree,"3-5 years",Data Engineer,Accounting/Finance,125000.0,SQL,,
Ireland,IRL,Europe,Doctoral degree,"1-3 years",Data Scientist,Accounting/Finance,70000.0,Python;SQL,SQLite,
Ethiopia,ETH,Africa,Bachelor’s degree,< 1 years,Data Engineer,Government/Public Service,0.0,Python;Javascript,,
Nigeria,NGA,Africa,Professional doctorate,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,0.0,Python;R,,
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Accounting/Finance,0.0,Python;SQL,,
Philippines,PHL,Asia,Master’s degree,"1-3 years",Data Scientist,Marketing/CRM,10000.0,Python,,
Morocco,MAR,Africa,No formal education past high school,"3-5 years",Data Engineer,Non-profit/Service,100000.0,Python;SQL,,
Argentina,ARG,Americas,Professional doctorate,"10-20 years",Data Scientist,Online Service/Internet-based Services,1000.0,Python;R;SQL,,
Pakistan,PAK,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,1000.0,Python;R;C#;C++;MATLAB,MongoDB,
United States of America,,,Bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,,Python;SQL;Javascript;Bash;PHP,,
Japan,JPN,Asia,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,2000.0,,,
United States of America,,,Master’s degree,"20+ years",Data Scientist,Computers/Technology,150000.0,Python;R;SQL,,
Chile,CHL,Americas,Master’s degree,"1-3 years",Data Scientist,Computers/Technology,25000.0,Python;SQL,MongoDB,
Other,,,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,0.0,,,
Nigeria,NGA,Africa,Doctoral degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python;R;SQL;Javascript;Bash,,
Pakistan,PAK,Asia,Doctoral degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,0.0,Python;R,,
United States of America,,,Some college/university study without earning a bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,60000.0,,,
Pakistan,PAK,Asia,Master’s degree,< 1 years,Data Scientist,Computers/Technology,4000.0,Python;SQL,,
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Online Service/Internet-based Services,,Python,,
India,IND,Asia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,7500.0,Python;SQL;C++,MySQL,
United States of America,,,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;SQL;Bash;PHP,,
United States of America,,,Doctoral degree,"10-20 years",Data Scientist,Computers/Technology,100000.0,Python;SQL;C;C#;C++;MATLAB,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Other,150000.0,Python;R;SQL,MySQL;Snowflake,
India,IND,Asia,Bachelor’s degree,"1-3 years",Data Scientist,Computers/Technology,5000.0,Python;SQL;Javascript,MySQL;SQLite,Qlik Sense
Netherlands,NLD,Europe,Master’s degree,"1-3 years",Data Scientist,Government/Public Service,40000.0,R;SQL,,
China,CHN,Asia,Master’s degree,"1-3 years",Data Engineer,Computers/Technology,1000.0,Python,,
Japan,JPN,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python;Java;Bash,,
India,IND,Asia,Master’s degree,< 1 years,Data Scientist,Academics/Education,0.0,Python;SQL;C,MongoDB,
Other,,,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,20000.0,,,
Italy,ITA,Europe,Master’s degree,"10-20 years",Data Scientist,Computers/Technology,25000.0,Python;SQL;Javascript,,
Nigeria,NGA,Africa,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,0.0,SQL,,
Ukraine,UKR,Europe,Bachelor’s degree,"1-3 years",Data Scientist,Accounting/Finance,10000.0,Python;SQL,,
Australia,AUS,Oceania,Master’s degree,"3-5 years",Data Scientist,Accounting/Finance,100000.0,Python;R;SQL,,Microsoft Power BI
Other,,,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,10000.0,Python,,
United States of America,,,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,,,
Nigeria,NGA,Africa,Master’s degree,"3-5 years",Data Administrator,Government/Public Service,1000.0,Python;SQL;PHP,,
India,IND,Asia,Master’s degree,< 1 years,Data Scientist,Other,0.0,Python,,
India,IND,Asia,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,Python;C++,PostgreSQL,
United States of America,,,Bachelor’s degree,"5-10 years",Data Scientist,Retail/Sales,125000.0,Python;SQL,,
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Computers/Technology,,Python;SQL;MATLAB,,
Japan,JPN,Asia,I prefer not to answer,"5-10 years",Data Scientist,Academics/Education,40000.0,Python;SQL,MongoDB;Snowflake,
Spain,ESP,Europe,Doctoral degree,"3-5 years",Data Scientist,Government/Public Service,1000.0,Python;R;SQL;MATLAB,,
United Kingdom of Great Britain and Northern Ireland,,,Some college/university study without earning a bachelor’s degree,"20+ years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,50000.0,R;SQL,,
Germany,DEU,Europe,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,60000.0,Python;SQL,MongoDB,
Other,,,Master’s degree,"10-20 years",Data Scientist,Online Service/Internet-based Services,,Python;SQL,,
Pakistan,PAK,Asia,Bachelor’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,10000.0,R;SQL,,
South Africa,ZAF,Africa,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,2000.0,Python,,
United States of America,,,Doctoral degree,"5-10 years",Data Scientist,Computers/Technology,200000.0,Python;R;SQL,,
Other,,,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,10000.0,,,
Poland,POL,Europe,Master’s degree,"5-10 years",Data Scientist,Insurance/Risk Assessment,90000.0,Python;R;SQL;MATLAB,,
United States of America,,,Master’s degree,"3-5 years",Data Scientist,Government/Public Service,90000.0,Python,,
Argentina,ARG,Americas,Professional doctorate,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,,Python,,
United States of America,,,Some college/university study without earning a bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,,,
Brazil,BRA,Americas,Master’s degree,"1-3 years",Data Scientist,Accounting/Finance,7500.0,Python;R;SQL,,
United Arab Emirates,ARE,Asia,Bachelor’s degree,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,100000.0,Python,,
"Iran, Islamic Republic of...",,,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,3000.0,Javascript,,
Ukraine,UKR,Europe,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,5000.0,Python;SQL;C++;Java;MATLAB,,
Other,,,Doctoral degree,"3-5 years",Data Scientist,Computers/Technology,50000.0,Python,,
India,IND,Asia,I prefer not to answer,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,SQL,,
India,IND,Asia,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,20000.0,,,
Turkey,TUR,Asia,Master’s degree,"3-5 years",Data Scientist,Computers/Technology,0.0,Python,,
India,IND,Asia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,50000.0,R;SQL,PostgreSQL,
India,IND,Asia,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,0.0,SQL,PostgreSQL,Qlik Sense
United States of America,,,Doctoral degree,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,300000.0,Python;R;SQL,SQLite;Oracle Database,
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,60000.0,Python;SQL,,
India,IND,Asia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,0.0,Python,,
United States of America,,,Some college/university study without earning a bachelor’s degree,"20+ years",Data Engineer,Medical/Pharmaceutical,100000.0,Python;SQL;C#;Javascript;Bash,SQLite,
India,IND,Asia,Bachelor’s degree,"1-3 years",Data Scientist,Online Service/Internet-based Services,1000.0,Python;SQL;C;C#;Javascript,MySQL,
India,IND,Asia,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,3000.0,SQL,,
Other,,,Master’s degree,"1-3 years",Data Scientist,Broadcasting/Communications,5000.0,Python,,
United States of America,,,Some college/university study without earning a bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,30000.0,Python,,
India,IND,Asia,I prefer not to answer,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,15000.0,Python;SQL;C;C++;Java;Javascript,MySQL;PostgreSQL;SQLite;Oracle Database;MongoDB;Snowflake,
India,IND,Asia,Master’s degree,"5-10 years",Data Scientist,Accounting/Finance,15000.0,Python;R;SQL,,Google Data Studio
Ghana,GHA,Africa,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,0.0,R;SQL,,
Spain,ESP,Europe,I prefer not to answer,"3-5 years",Data Scientist,Insurance/Risk Assessment,50000.0,Python;SQL,,
India,IND,Asia,Doctoral degree,"3-5 years",Data Scientist,Computers/Technology,15000.0,Python,MySQL;SQLite,
United States of America,,,Master’s degree,"20+ years",Data Scientist,Accounting/Finance,80000.0,Python;SQL,,
Brazil,BRA,Americas,Doctoral degree,"10-20 years",Data Scientist,Manufacturing/Fabrication,,Python;SQL,,
Russia,RUS,Europe,Master’s degree,"3-5 years",Data Scientist,Computers/Technology,0.0,Python;Bash,MongoDB,
Other,,,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python;SQL;Javascript,SQLite,Looker
United States of America,,,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,70000.0,Python;SQL,,
United States of America,,,I prefer not to answer,"1-3 years",Data Scientist,Computers/Technology,,Python,,
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Medical/Pharmaceutical,15000.0,Python;R;SQL,,
Ukraine,UKR,Europe,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,10000.0,,,
Israel,ISR,Asia,Doctoral degree,"1-3 years",Data Scientist,Other,100000.0,Python,,
United States of America,,,Master’s degree,"1-3 years",Data Scientist,Non-profit/Service,60000.0,Python;R;SQL;MATLAB,MongoDB,
United States of America,,,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,70000.0,,,
United States of America,,,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,20000.0,Python;R;SQL,,
India,IND,Asia,I prefer not to answer,"3-5 years",Data Scientist,Computers/Technology,10000.0,Python;R;SQL,Oracle Database;Snowflake,
United States of America,,,Bachelor’s degree,"3-5 years",Data Engineer,Manufacturing/Fabrication,125000.0,Python;SQL;Bash,MySQL;MongoDB,Google Data Studio
Brazil,BRA,Americas,Doctoral degree,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,2000.0,Python;SQL;C,,
Portugal,PRT,Europe,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,30000.0,SQL,,
United States of America,,,Bachelor’s degree,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,150000.0,SQL,,
South Korea,KOR,Asia,Doctoral degree,"10-20 years",Data Engineer,Manufacturing/Fabrication,7500.0,Python;SQL;Bash,PostgreSQL;Snowflake,
Ukraine,UKR,Europe,Some college/university study without earning a bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,,Python;SQL,,
United States of America,,,Master’s degree,"3-5 years",Data Scientist,Retail/Sales,125000.0,Python;R;SQL,SQLite,
Kenya,KEN,Africa,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,60000.0,Python;R;SQL,MongoDB,
Australia,AUS,Oceania,Bachelor’s degree,"5-10 years",Data Scientist,Computers/Technology,100000.0,R;SQL,,
India,IND,Asia,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,2000.0,,,
India,IND,Asia,Doctoral degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,2000.0,,,
Other,,,Bachelor’s degree,"10-20 years",Data Engineer,Accounting/Finance,,Python;SQL;C#,,
United States of America,,,Bachelor’s degree,"5-10 years",Data Scientist,Medical/Pharmaceutical,200000.0,Python;R;SQL,SQLite;MongoDB,
Nigeria,NGA,Africa,Doctoral degree,"1-3 years",Data Scientist,Non-profit/Service,10000.0,Python,,
United States of America,,,Master’s degree,"10-20 years",Data Scientist,Retail/Sales,125000.0,Python;C++,SQLite,
India,IND,Asia,Bachelor’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,10000.0,Python;R;SQL,,
Other,,,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,125000.0,C;Java,MongoDB,
India,IND,Asia,I prefer not to answer,"3-5 years",Data Scientist,Computers/Technology,2000.0,Python;MATLAB,,
Portugal,PRT,Europe,Doctoral degree,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,25000.0,Python;SQL;Bash,,
Peru,PER,Americas,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,0.0,Python;SQL;Javascript;Bash,SQLite,Tableau
India,IND,Asia,Master’s degree,"1-3 years",Data Scientist,Accounting/Finance,30000.0,Python;R,,
Other,,,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,0.0,,,
United States of America,,,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,50000.0,,,
India,IND,Asia,Bachelor’s degree,< 1 years,Data Scientist,,,Python,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Accounting/Finance,125000.0,Python;R;SQL,,
India,IND,Asia,Master’s degree,"5-10 years",Data Scientist,Computers/Technology,0.0,Python;SQL;C;C#;C++;Java;Javascript,MongoDB,
Ghana,GHA,Africa,Bachelor’s degree,I have never written code,Data Administrator,Government/Public Service,1000.0,,,
India,IND,Asia,I prefer not to answer,"3-5 years",Data Scientist,Energy/Mining,,SQL;C#;C++;Java,,
India,IND,Asia,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,4000.0,Java,,
Taiwan,TWN,Asia,Master’s degree,"3-5 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,15000.0,Python,,
United States of America,,,Doctoral degree,"20+ years",Data Scientist,Computers/Technology,150000.0,Python;R,SQLite;MongoDB,Microsoft Power BI
Egypt,EGY,Africa,Bachelor’s degree,I have never written code,Data Scientist,Accounting/Finance,0.0,,,
India,IND,Asia,I prefer not to answer,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,Python;R;SQL,,
India,IND,Asia,Bachelor’s degree,"5-10 years",Data Scientist,Manufacturing/Fabrication,1000.0,Python,MySQL,
Egypt,EGY,Africa,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,0.0,Python;C#;C++;MATLAB,,
Nigeria,NGA,Africa,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Broadcasting/Communications,2000.0,Python;SQL,,
United States of America,,,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,60000.0,,,
Russia,RUS,Europe,Bachelor’s degree,"3-5 years",Data Scientist,Computers/Technology,15000.0,Python;SQL;Bash,,
Nigeria,NGA,Africa,Master’s degree,"10-20 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,50000.0,R;SQL,,
India,IND,Asia,Master’s degree,< 1 years,Data Scientist,Other,,Python;SQL;MATLAB,,
United States of America,,,Master’s degree,"5-10 years",Data Scientist,Other,125000.0,Python;SQL,SQLite;MongoDB,
India,IND,Asia,Master’s degree,"5-10 years",Data Scientist,Medical/Pharmaceutical,,Python;SQL,,
India,IND,Asia,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,5000.0,Python;R;SQL;Java,MySQL;PostgreSQL,
Mexico,MEX,Americas,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,3000.0,Python;C#;C++;Javascript,MongoDB,
India,IND,Asia,I prefer not to answer,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,7500.0,Python;SQL,,
United States of America,,,I prefer not to answer,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,,,,
Other,,,I prefer not to answer,"5-10 years",Data Scientist,Computers/Technology,4000.0,SQL,Microsoft SQL Server,
South Korea,KOR,Asia,Master’s degree,"1-3 years",Data Scientist,Manufacturing/Fabrication,,Python,,
India,IND,Asia,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,0.0,Python;SQL,,
United States of America,,,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,70000.0,Python;SQL,SQLite;Oracle Database,Tableau
United States of America,,,Bachelor’s degree,"1-3 years",Data Engineer,Other,100000.0,Python;SQL,SQLite,
Other,,,Master’s degree,"10-20 years",Data Scientist,Energy/Mining,30000.0,Python;Java,,
Czech Republic,,,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",,,Python;SQL,,
Indonesia,IDN,Asia,Some college/university study without earning a bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,0.0,Python;SQL,MongoDB,
India,IND,Asia,Master’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Academics/Education,10000.0,Python,,
India,IND,Asia,Bachelor’s degree,"5-10 years",Data Scientist,Accounting/Finance,4000.0,Python;SQL;C;Java;Javascript,,
United States of America,,,Master’s degree,"20+ years",Data Scientist,Accounting/Finance,,Python;SQL;C,,
Other,,,Bachelor’s degree,"1-3 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0.0,R,,
Mexico,MEX,Americas,Some college/university study without earning a bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,0.0,SQL,,
Argentina,ARG,Americas,Bachelor’s degree,"20+ years",Data Engineer,Broadcasting/Communications,10000.0,Python;SQL;Bash,,
United States of America,,,Bachelor’s degree,"1-3 years",Data Scientist,Computers/Technology,150000.0,Python,SQLite;MongoDB,Tableau
United States of America,,,Master’s degree,"5-10 years","Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,125000.0,SQL,,
Spain,ESP,Europe,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Energy/Mining,0.0,,,
Turkey,TUR,Asia,Master’s degree,"5-10 years",Data Scientist,Online Service/Internet-based Services,1000.0,Python,SQLite,
United States of America,,,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,70000.0,,,
